org_id,org_name,org_code,org_status,org_date,properties,email,company,location,,,,,,
11,Company A,BIW,renewed,2023-05-05 04:23:04,"{""email"": ""biw@gmail.com"",""company"":""Company A"",""location"":""Maharastra""}",biw@gmail.com,Company A,Maharastra,,,,,,
22,Company B,BIX,renewed,2023-05-12 06:28:34,"{""email"": ""bix@gmail.com"",""company"":""Company B"",""location"":""Punjab""}",bix@gmail.com,Company B,Punjab,,,,,,
33,Company C,BMR,not renewed,2023-06-15 06:53:38,"{""email"": ""bon@gmail.com"",""company"":""Company C"",""location"":""Maharastra""}",bon@gmail.com,Company C,Maharastra,,,,,,
44,Company D,BMW,not renewed,2023-06-15 18:19:42,"{""email"": ""bou@gmail.com"",""company"":""Company D"",""location"":""Gujarat""}",bou@gmail.com,Company D,Gujarat,,,,,,
55,Company E,BIZ,renewed,2023-05-15 09:55:47,"{""email"": ""biz@gmail.com"",""company"":""Company E"",""location"":""Gujarat""}",biz@gmail.com,Company E,Gujarat,,,,,,
66,Company F,BNB,not renewed,2023-06-19 09:29:29,"{""email"": ""bov@gmail.com"",""company"":""Company F"",""location"":""Gujarat""}",bov@gmail.com,Company F,Gujarat,,,,,,
77,Company G,BJA,renewed,2023-05-12 08:32:27,"{""email"": ""bja@gmail.com"",""company"":""Company G"",""location"":""Punjab""}",bja@gmail.com,Company G,Punjab,,,,,,
88,Company H,BJI,renewed,2023-05-16 10:26:26,"{""email"": ""bji@gmail.com"",""company"":""Company H"",""location"":""Gujarat""}",bji@gmail.com,Company H,Gujarat,,,,,,
99,Company I,BNK,not renewed,2023-06-19 17:57:52,"{""email"": ""bow@gmail.com"",""company"":""Company I"",""location"":""Punjab""}",bow@gmail.com,Company I,Punjab,,,,,,
111,Company J,BNQ,not renewed,2023-06-22 11:02:47,"{""email"": ""bpc@gmail.com"",""company"":""Company J"",""location"":""Maharastra""}",bpc@gmail.com,Company J,Maharastra,,,,,,
222,Company K,BNY,not renewed,2023-06-23 07:53:57,"{""email"": ""bpi@gmail.com"",""company"":""Company K"",""location"":""Maharastra""}",bpi@gmail.com,Company K,Maharastra,,,,,,
333,Company L,BNZ,not renewed,2023-06-23 07:56:31,"{""email"": ""bpj@gmail.com"",""company"":""Company L"",""location"":""Maharastra""}",bpj@gmail.com,Company L,Maharastra,,,,,,
444,Company M,BJJ,renewed,2023-05-16 12:50:03,"{""email"": ""bjj@gmail.com"",""company"":""Company M"",""location"":""Maharastra""}",bjj@gmail.com,Company M,Maharastra,,,,,,
555,Company N,BOA,not renewed,2023-06-23 11:51:27,"{""email"": ""bpl@gmail.com"",""company"":""Company N"",""location"":""Punjab""}",bpl@gmail.com,Company N,Punjab,,,,,,
666,Company O,BOD,not renewed,2023-06-24 05:33:17,"{""email"": ""bpm@gmail.com"",""company"":""Company O"",""location"":""Maharastra""}",bpm@gmail.com,Company O,Maharastra,,,,,,
777,Company P,BJM,renewed,2023-05-17 06:37:55,"{""email"": ""bjm@gmail.com"",""company"":""Company P"",""location"":""Gujarat""}",bjm@gmail.com,Company P,Gujarat,,,,,,
888,Company Q,BJP,renewed,2023-05-19 04:41:33,"{""email"": ""bjp@gmail.com"",""company"":""Company Q"",""location"":""Gujarat""}",bjp@gmail.com,Company Q,Gujarat,,,,,,
999,Company R,BJR,renewed,2023-05-19 07:39:12,"{""email"": ""bjr@gmail.com"",""company"":""Company R"",""location"":""Gujarat""}",bjr@gmail.com,Company R,Gujarat,,,,,,
1111,Company S,BJT,renewed,2023-05-11 06:04:19,"{""email"": ""bjt@gmail.com"",""company"":""Company S"",""location"":""Gujarat""}",bjt@gmail.com,Company S,Gujarat,,,,,,
2222,Company T,BOK,not renewed,2023-06-26 10:36:01,"{""email"": ""bpo@gmail.com"",""company"":""Company T"",""location"":""Punjab""}",bpo@gmail.com,Company T,Punjab,,,,,,
